2014-09-14 16:24:47 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 65]
2014-09-14 16:24:47 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 67]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 53]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 54]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 55]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 56]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 57]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 58]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 59]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 60]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 61]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 62]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 63]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 64]
2014-09-14 17:40:18 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 65]
2014-09-14 17:40:18 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 67]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 53]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 54]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 55]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 56]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 57]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 58]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 59]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 60]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 61]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 62]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 63]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 64]
2014-09-14 17:40:34 Warning: Warning (2): Cannot unset offset in a non-array variable in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 65]
2014-09-14 17:40:34 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/rubencam/public_html/tesis/views/books/marc21.ctp, line 67]
2014-09-17 11:53:52 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'rubencam_tesis'@'localhost' (using password: YES) in [C:\Program Files (x86)\Apache Software Foundation\Apache2.2\htdocs\cake_1.3.20\cake\libs\model\datasources\dbo\dbo_mysql.php, line 561]
2014-09-17 11:53:52 Warning: Warning (2): mysql_query() expects parameter 2 to be resource, boolean given in [C:\Program Files (x86)\Apache Software Foundation\Apache2.2\htdocs\cake_1.3.20\cake\libs\model\datasources\dbo\dbo_mysql.php, line 613]
2014-09-17 11:53:52 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Program Files (x86)\Apache Software Foundation\Apache2.2\htdocs\cake_1.3.20\cake\libs\debugger.php:686) in [C:\Program Files (x86)\Apache Software Foundation\Apache2.2\htdocs\cake_1.3.20\cake\libs\controller\controller.php, line 742]
